las_county;las_numb;residency;grid;name;sex;age;residence yrs;birth_inf;birth_mot;birth_fat;school;comment
ORKNEY;21;South Walls (Sch.), Hoy;39/3189;T.M.W.;m;–;–;–;–;–;;(Completed by several local people, all over middle age)
CAITHNESS;1;Dunnet;39/2271;J.C.;f;92;75;Dunnet;same;same;;
CAITHNESS;2a;John O'Groats;39/3873;J.S.B.;m;63;60;John O'Groats;same;same;;
CAITHNESS;2b;John O'Groats (Sch.);39/3872;J.M.L.;f;38;3;Lyth;John O'Groats;Bower;;
CAITHNESS;3;Dounreay;29/9966;N.B.;m;–;since birth;–;–;–;;
CAITHNESS;4;Janetstown;39/0965;A.C.;f;40;25;North Berwick, East Lothian ;Janetstown;Ross-shire;;
CAITHNESS;5;Lyth (Sch.);39/2963;G.S.;m;55;25;John O'Groats;same;same;;
CAITHNESS;6;Keiss (Sch.);39/3461;A.M.;m;–;–;–;–;–;;Completed by four natives of district
CAITHNESS;7;Gersten;39/1259;J.I.T.;f;62;62;Halkirk;same;same;;
CAITHNESS;8;Achalone;39/1556;A.D.B.;f;52;38;Sibster;Bower Parish;Olrig, Wick;;
CAITHNESS;9;Dunn;39/1956;B.G.A.;f;46;43;Dunn;Dunn;Castletown;;
CAITHNESS;10;Harpsdale (Sch.) ;39/1354;A.S.;f;49;2;Thurso;Ross-shire;Dunbeath;;
CAITHNESS;11;Spittal (Sch.) ;39/1653;M.C.M.;f;47;22;Grangemouth, StirIingshire ;Berriedale;Lybster;;
CAITHNESS;12a;Wick;39/3650;D.B.;m;74;71;Wick;same;same;;
CAITHNESS;12b;Wick;39/3650;R.J.G.M.;m;88;88;Latheron;Caithness;Caithness;;
CAITHNESS;12c;Wick;39/3650;J.R.;m;–;–;–;–;–;;
CAITHNESS;13;Camster;39/2545;T.M.;m;77;47;Rhinivie, Bethy Hill, Sutherland ;Sutherland;Kildonan, StirIingshire;;
CAITHNESS;14;Old Stirkoke ;39/3249;D.B.M.;m;40;40;Stirkoke;Latheron;Halkirk;;
CAITHNESS;15;Latheron;39/1933;J.M.;m;73;23;Halkirk;Latheron;Strathmore, Halkirk ;;
CAITHNESS;16a;Mid-Clyth;39/2837;C.C.;f;69;29;Mid-Clyth;Camster;Roster;;
CAITHNESS;16b;Mid-Clyth;39/2837;J.A.M.;m;63;60;East Clyth ;Clyth Mains ;Boultach;;
CAITHNESS;17;Achow;39/2236;J.M.;m;43;30;Achow, Lybster ;Clyth;Achow;;
SUTHERLAND;1;Talmine;29/5862;H.M.;f;27;25;Talmine;Erribol, Durness;Taimine;;
SUTHERLAND;2;Armadale;29/7864;D.M.F.;m;60;18;Halladale;same;same;;
SUTHERLAND;3;Naver Bridge;29/7060;G.W.M.;m;71;71;Naver;Bettyhill;Bettyhill;;
;;;;A.M.;m;69;69;Achina;Bettyhill;Bettyhill;;
SUTHERLAND;4;Strathy West;29/8404;C.M.;f;77;42;Bettyhill;same;same;;
SUTHERLAND;5;Scourie;29/1544;A.M.;f;49;9;Glasgow;Parish of Assynt;Stoer, by Lairg;;
SUTHERLAND;6;Kinbrace;29/8631;E.M.;m;59;50;Eriboll, Durness;Parish of  Assynt;Ness, Lewis, Ross and Cromarty ;;
SUTHERLAND;7;Elphin;29/2111;H.M.;m;74;–;Elphin;Ullapool, Ross and Cromarty ;Elphin;;
SUTHERLAND;8;Colaboll;29/5610;M.G.;f;62;47;Colaboll, Lairg;Lairg Muir;Colmaily, Lairg;;
SUTHERLAND;9a;Culgower;29/9711;D.C.;m;64;16;Caithness;same;same;;
SUTHERLAND;9b;Kil mote;29/9711;A.B.M .;m;60;28;Loth;Braemore, Caithness;Backies, Golspie;;
SUTHERLAND;10;Helmsdale;39/0215;R.G.;f;–;–;Portgower, Helmsdale;Navidale;Gartymore;;
SUTHERLAND;11;Altassmore;29/5000;A.M.;m;68;–;Altassmore;Tongue;Rosehall;;
SUTHERLAND;12;Rhilochan;29/7407;A.M.;m;70;70;Rhilochan;Morness, Rogart;Morness;;
SUTHERLAND;13;Rogart;29/7303;W. A.S.M.;m;55;52;Reidchalmie;Watten, Caithness;Reidchalmie;;
SUTHERLAND;14;Bonar Bridge;28/6191;W.B.U.;m;51;14;Ousdale, Caithness;Aberdeenshire;Ross-shire;;
SUTHERLAND;15;Golspie;28/8399;B.B.P.;f;34;31;Golspie;Strath, Halladale;Dornoch;;
SUTHERLAND;16;Embo;28/8192;W.A.C.;m;52;14;Bonar Bridge;same;same;;
SUTHERLAND;17;Clashmore;28/7389;M.J.G.;f;43;43;Dornoch;Wick, Caithness;Fearn, Ross-shire;;
ROSS AND CROMARTY ;1;Kershader  (Sch.I;19/3420;D.M.;m;48;1;Shader Point, Lewis;same;same;;
ROSS AND CROMARTY ;2;Laide (Sch.);18/9091;A.M.;f;53;28;Badluarach, Ross-shire;same;same;;
ROSS AND CROMARTY ;3;Ullapool;28/1294;J.R.M.;m;62;–;Ullapool;Stornoway;Ullapool;;
ROSS AND CROMARTY ;4;Melvaig (Sch.);18/7486;C.M.;f;47;29;Melvaig, Gairloch;same;same;;
ROSS AND CROMARTY ;5;Midtown;18/8185;A.J.M.;m;50;44;Inverness-shire;lnverasdale;Inverasdale;;
ROSS AND CROMARTY ;6;Portmahomack;28/9184;M.C.B.S.;f;29;26;Portmahomack.;Isle of Lewis;Tain;;
ROSS AND CROMARTY ;7;Ardross (Sch.);28/6473;J.H.R.;m;53;22;Urray;Urquhart;Fearn;;
ROSS AND CROMARTY ;8;Newfield;28/7877;A.M.D.;m;73;70;Calrossie, Nigg Station;Fearn;Nairn;;
ROSS AND CROMARTY ;9;Tullich;28/7373;J.R.;f;45;42;Delny;same;same;;
ROSS AND CROMARTY ;10;Reiskmore;28/7072;D.J.R.;m;67;64;Reiskmore;Fearn;Reiskmore;;
ROSS AND CROMARTY ;11;Rhynie;28/8479;A.C.R.;f;–;since birth;Fearn;Inverness;Fearn;;
ROSS AND CROMARTY ;12;Fearn;28/8377;A.R.;m;51;51;Fearn;Munlochy;Fearn;;
ROSS AND CROMARTY ;13;Nigg Station;28/8076;A.M.;m;66;40;Logie-Easter;Black Isle;Logie-Easter;;
ROSS AND CROMARTY ;14;Hilton of Cadboll;28/8776;J.R.;f;49;49;Hilton;same;same;;
ROSS AND CROMARTY ;15;Pitcalnie;28/8072;D.M.;m;59;28;Burnside, Avoch;Strathconon;Strathconon;;
ROSS AND CROMARTY ;16;Diabaig;18/8060;W.M.;m;53;50;Diabaig;same;same;;
ROSS AND CROMARTY ;17;Garve;28/3961;A.M.;f;56;15;Brahan, Cononbridge;Muchernich, Tore;Brahan;;
ROSS AND CROMARTY ;18;Alness;28/6569;L.M.;m;73;50;Alness;R ichailin, Rosskeen;Alness;;
ROSS AND CROMARTY ;19;Rosskeen;28/6869;D.M.;m;26;9;Brechin, Angus;Cowdenbeath, Fife;Motherwell, Lanarkshire ;;
ROSS AND CROMARTY ;20;Evanton;28/6066;M.M.;m;50;15;Carrbridge, Inverness-shire;Inverness-shire;Inverness-shire;;
ROSS AND CROMARTY ;21;Auchmartin;28/6966;M.J.F.;f;39;36;Auchmartin;Parish of  Cromarty;Parish of Resolis;;
ROSS AND CROMARTY ;22;Resolis;28/6665;E.C.;f;67;67;Resolis;Morayshire;Resolis;;
ROSS AND CROMARTY ;23;Newhall (Sch.);28/6965;G.M.C.;m;44;12;Stornoway;Garve Ross-shire;Stornoway;;
ROSS AND CROMARTY ;24;Cullicudden;28/6564;C.M.;f;68;65;Toberchurn, Cullicudden;Broomton, Culbokie;Toberchurn;;
ROSS AND CROMARTY ;25a;Cromarty;28/7967;L.B.;f;–;30;Wales;Cornwall;Cromarty;;(Cromarty Youth Club) 
ROSS AND CROMARTY ;25b;Cromarty;28/7867;J.M.;f;60;58;Beauly,;Inverness-shire;Ardgay, Ross-shire ;;
ROSS AND CROMARTY ;26;Torridon (Sch.);18/8956;M.A.F.;f;64;11;Dingwall;Lochcarron;Black Isle ;;
ROSS AND CROMARTY ;27;Bridge End;28/3255;D.K.S.;m;76;4;Dochfour, Inverness-shire;Tarvie, Cantin;Tarvie;;
ROSS AND CROMARTY ;28;Strathpeffer;28/4858;M.R.;f;62;62;Strathpeffer;Dingwall;Strathpeffer;;
ROSS AND CROMARTY ;29;Fairburn;28/4653;J.A.M.;f;40;40;Urray, Fairburn;Inverness;Cantin;;
ROSS AND CROMARTY ;30;Lochussie;28/5157;A.S.;f;44;3;Ferintosh;same;same;;
ROSS AND CROMARTY ;31;Balreillan;28/5856;D.G.;m;73;71;Cononbridge;Avoch;Cononbridge;;
ROSS AND CROMARTY ;32a;Muir of Ord;28/5250;M.C.;f;49;44;Inverness;Allanfearn, Inverness-shire;Muir of Ord;;
ROSS AND CROMARTY ;32b;Muir of Ord;28/5250;A.F.;m;73;40;Urquhart;same;same;;
ROSS AND CROMARTY ;32c;Muir of Ord;28/5250;A.L.;m;62;62;Muir of Ord;same;same;;
ROSS AND CROMARTY ;33;Culbokie;28/6059;J.F.;m;69;65;Culbokie;Shoreton;Culbokie;;
ROSS AND CROMARTY ;34;Killen;28/6758;A.S.H.;m;53;18;Dunbar, East Lothian;Newcastle, Northumberland ;Manchester,  Lanes.;;
ROSS AND CROMARTY ;35;Balnakyle;28/6454;D.M.;m;52;52;Balnakyle;Knockbairn, Munlochy;Balnakyle;;
ROSS AND CROMARTY ;36;Fortrose;28/7256;M.J.M.;f;–;38;Auldearn, Narinshire;Speybay, Banffsh ire;Knockbain, Ross-shire;;
ROSS AND CROMARTY ;37a;Avoch;28/7055;D.S.;m;73;73;Avoch;same;same;;
ROSS AND CROMARTY ;37b;Avoch;28/7055;J.S.;f;55;52;Avoch;same;same;;
ROSS AND CROMARTY ;38;Balmacara;18/8028;F.M.;f;48;45;Balmacara;Glenelg, Inverness-shire ;Gairloch;;
ROSS AND CROMARTY ;39;lnversheil;18/9319;I.M.;f;25;22;Totaig, Glenshiel;Lochinver, Sutherland;Totaig;;
INVERNESS;1;Scarp (Sch.);09/9813;D.C.;m;41;3;Argyllshire;same;same;;
INVERNESS;2;Cliasamol  (Sch.);19/0806;M.M.;f;40;1;Scarp;same;same;;
INVERNESS;3;Uig;18/3864;D.M.;m;67;64;Uig;same;same;;
INVERNESS;4;Kyles Floddy (Sch.) Benbecula ;08/8255;K.M.M.;f;28;2;Carinish;Leirinish;Carinish;;
INVERNESS;5;Colbost (Sch.);18/2049;M.A.M.;f;24;21;Colbost;Colbost;Shiader, by  Dunvegar;;
INVERNESS;6;Portree;18/4843;R.M.C.;m;78;71;Portree;Glenelg;Tote, Skye;;
INVERNESS;7;Farley;28/4645;W. F.;m;72;72;Farley;Cromarty;Kiltarlity;;
INVERNESS;8;Kiltarlity;28/4943;J.F.;m;75;75;Dares;Kiltarlity;Kiltarlity;;
INVERNESS;9;Kirkhill;28/5545;M.P.;f;48;43;Inverness;Kirkhill;Haddington, East Lothian ;;
INVERNESS;10;Lentran;28/5844;J.F.;m;83;70;Inverness;Lentran;Alves, Morayshire;;
INVERNESS;11;Milifiach;28/5443;J.M.;f;–;–;–;–;–;;
INVERNESS;12;Auchvaich;28/5340;C.F .;f;48;48;Auchvaich;Stratherrick;Clunes, Kirkhill;;
INVERNESS;13a;Inverness;28/6645;J.A.C.;m;46;43;Inverness;Kilmarack, Beauly;Crieff, Perthshire;;
INVERNESS;13b;Inverness;28/6645;H.H.;m;46;43;Inverness;lnvershin, Sutherland;Wick, Caithness;;
INVERNESS;13c;Inverness;28/6645;J.H.;m;60;50;Skye;Aberdeen;Fife;;
INVERNESS;13d;Inverness;28/6645;D.J.M.;m;54;27;Lochcarron, Ross-shire;Gairloch, Ross-shire;Lochcarron;;
INVERNESS;13e;Inverness;28/6645;E.J.T.;m;83;80;Inverness;Dingwall, Ross-shire;Inverness;;
INVERNESS;14;Battlefield;27/6040;J.R.;m;81;78;Battlefield;Inverness;Battlefield;;
INVERNESS;15;Croy;28/7949;–.R.;f;70;35;Little Dalcross, Croy;Hardhill, Dalcross;Little Dalcross;;
INVERNESS;16;Struy  (Sch.);28/3939;E.M.;f;–;–;–;–;–;;
INVERNESS;17;Abriachan (Sch.);28/5535;E.F.;f;43;32;Abriachan;same;same;;
INVERNESS;18;Drumnadrochit;28/5130;A.C.M.;m;54;40;Inverness;Glenurquhart;Dundee, Angus;;
INVERNESS;19;Aldourie (Sch.);28/6036;D.C.;m;55;26;Inverness;Strathconon, Ross-shire;Canon, Ross-shire;;
INVERNESS;20;Farr (Sch.);28/6833;J.C.M.;f;46;1;Nigg, Ross-shire;Nigg, Ross-shire;Kildary, Ross-shire;;
INVERNESS;21a;Ruthven;28/8133;A.M.;m;73;70;Ruthven;Farr;Ruthven;;
INVERNESS;21b;Ruthven;28/8133;L.R.;m;70;67;Ruthven;lnvereen, Tomatin;Dares;;
INVERNESS;22;Kyleakin;18/7526;F.N.R.;f;39;36;Kyleakin;Portree, Skye;Lossiemouth, Morayshire;;
INVERNESS;23;Foyers;28/4920;J.G.;m;60;23;Aultnagoire;Dares;Dores;;
INVERNESS;24;Gorthlick;28/5521;T.F.;m;73;68;Garthlick;same;same;;
INVERNESS;25;Glenlia;28/5020;D.A.M.;m;69;61;Inverness;Boat of  Garten;Parish of Boleskine;;
INVERNESS;26;Dunmaglass;28/6023;E.K.;f;73;3;Inverness;Kirkhill;lnvern, nr. Dunkeld, Perthshire ;;
INVERNESS;27;Auchnahannet;28/9727;G.G.G.;m;53;49;Dulnain Bridge;Dulnain Bridge;Kingussie;;
INVERNESS;28;Dulnain Bridge;28/9925;J.M.;m;71;68;Dulnain Bridge;Banffsh ire;Dulnain Bridge;;
INVERNESS;29;Nethybridge;38/0020;M.M.G.;f;66;63;Nethybridge;Duthill;Nairn;;
INVERNESS;30;lnvermoriston;28/4216;A.G.;m;86;–;Invermoriston;–;–;;
INVERNESS;31;Lochgarths ide;28/5219;A.C.;m;77;67;Gorthlick;–;–;;
INVERNESS;32;Fort Augustus;28/3709;M.B.;f;29;9;Kirkwall, Orkney;Beauly;Beauly;;
INVERNESS;33;Alvie;28/8709;C.M.M.;f;52;6;Lairg, Sutherland;Dornoch, Sutherland;Ardgay, Ross-shire;;
INVERNESS;34;Morar;17/6793;D.M.;m;62;60;Morar;Mallaig;Morar;;
INVERNESS;35;Newtonmore;27/7199;N.F.;f;–;26;Kinlochlaggan;Newtonmore;Rannoch, Perthshire;;
INVERNESS;36;Lochailort;17/7682;C.M.;f;54;3;Arisaig;Arisaig;Beauly;;
INVERNESS;37;Achnacarry  (Sch.I;27/1887;J.L.K.;f;51;42;Glasgow, Lanarkshire;Glasgow, Lanarkshire;Achnacarry;;
INVERNESS;38;Spean Bridge;27/2282;A.G.;m;59;55;Parish of Kilmally, Argyllshire;Uachan, Lochielside;Morar district;;
INVERNESS;39;Dalwhinnie;27/6384;–.M.;f;57;–;Corrievackie;Rannoch, Perthshire;Ross-shire;;
INVERNESS;40;Tomacharich (Sch.) ;27/1477;J.A.N.;f;82;–;Fort William ;Glen Nevis, Fort William ;Glenelg;;Words supplied by M.C. 
NAIRN;1a;Tradespark;28/8856;A.C.;f;45;22;Tradespark;Aberdeenshire;Delnies;;
NAIRN;1b;Nairn;28/8856;I.R.;f;52;12;London;Nairn;Aberdeen;;
NAIRN;1c;Nairn;28/8856;A.R.R.;m;50;4;Glasgow, Lanarkshire;Kilbirnie, Ayrshire;Glasgow, Lanarkshire;;
NAIRN;2;Knockanbuie;28/8352;J.C.;m;51;20;Woodlands;Inverness-shire;Knockanbuie;;
NAIRN;3;Raitloan;28/8853;J.C.;m;58;58;Raitloan;Nairnshire;Nairnshire;;
NAIRN;4;Moyness;28/9553;S.L.M.;f;67;20;Cawdor;Banffshire;Morayshire;;
NAIRN;5;Barevan;28/8347;I.R.P.;f;65;16;Milton of Cawdor;Inverness;Forres, Morayshire;;
NAIRN;6;Clunas;28/8846;T.M.;m;76;–;Knockandhu, Cawdor;Cabrach, Beauly, Inverness-shire;Ballachrochan, Cawdor;;
MORAY;1;Stotfield;38/2270;E.G.;f;65;56;Lossiemouth;Stotfield, Lossiemouth;Barmuckity, nr. Elgin;;
MORAY;2a;Findhorn;38/0364;D.F.;m;61;20;Kellas, Dallas;Kellas;Duffus;;
MORAY;2b;Findhorn;38/0364;I.M.;f;65;40;Findhorn;Burghead;Findhorn;;
MORAY;3;Hopeman;38/1469;V.W.H.P.;m;49;4;Orkney;same;same;;
MORAY;4;Burghead;38/1168;H.M.M.;m;50;4;Inverness;Bernera, Lewis, Ross and Cromarty ;Gairloch, Ross-shire;;
MORAY;5;Duffus;38/1768;E.F.;f;22;19;Duffus;Morayshire;Moray shire;;
MORAY;6a;Crook of  Alves;38/1362;F.M.;m;66;34;Oban, Argyllshire;Benderloch, Argyllshire ;Perthshire;;
MORAY;6b;Crook of  Alves;38/1362;J.S.;m;89;86;Alves;Black Isle, Ross and Cromarty ;Alves;;
MORAY;7;Kinneddar;38/2269;W.D.M.S.;m;35;30;Elgin;Morayshire;Aberdeenshire;;
MORAY;8a;Elgin;38/2162;E.S.H.;m;–;50;–;–;–;;
MORAY;8b;Elgin;38/2162;M.H.;f;64;50;Dufftown, Banffshire;Elgin;Dufftown, Banffshire;;
MORAY;8c;Elgin;38/2162;K.M.K.;f;44;24;Ireland;same;same;;
MORAY;8d;Elgin;38/2162;E.I.R.;f;49;40;Elgin;Gamrie, Banffshire;Boharm, Banffshire;;
MORAY;8e;Elgin;38/2162;H.S.;m;74;74;Morayshire;same;same;;
MORAY;8f;Elgin;38/2162;J.S.S.;m;77;17;Elgin;Kildrummy, Aberdeenshire ;Mosstodloch, nr.  Fochabers ;;
MORAY;9a;Garmouth;38/3364;E.T.D.;f;55;43;Garmouth;Garmouth;Rothes;;
MORAY;9b;Garmouth;38/3364;E.M.M .;f;62;59;Garmouth;Banffshire;Banffshire;;
MORAY;10;Nether Dallachy;38/3663;M.R.;f;50;46;Byres, Spey Bay;Tugnet, Spey Bay;Slackbuie, Mulben, Banffshire;;
MORAY;11;Conicavel;28/9953;A.W.;m;55;22;Archie town;Knockando, Banffshire;Aberchirder, Banffshire;;
MORAY;12;Forres;38/0358;A.G.S.;m;–;22;–;–;–;;
MORAY;13;Pilmuir;38/0257;J.F.;m;75;72;Forres;London;Forres;;
MORAY;14;Easter Manbeen;38/1959;G.C.;m;41;30;Pluscarden;Pluscarden;Brodie;;
MORAY;15;Kellas;38/1754;J.M.;m;71;68;Kellas;same;same;;
MORAY;16;Strypes;38/2758;L.R.G.;f;54;50;Lhanbryd;Aberdeen;Drainie;;
MORAY;17;Cranloch (Sch.);38/2858;J.D.N.;–;–;–;–;–;–;;Information obtained from various local residents
MORAY;18;Mosstodloch;38/3259;J.R.;m;75;75;Dipple, Fochabers;Dallas, Nr.  Elgin;Orton, Fochabers;;
MORAY;19;Fochabers;38/3458;S.D.M.;f;73;50;Banff;Fochabers;Fochabers;;
MORAY;20;Mains of Orton;38/3154;G.L.W.;m;59;50;Fraserburgh, Aberdeenshire ;Rathen, Fraserburgh, Aberdeenshire ;Fraserburgh, Aberdeenshire ;;
MORAY;21;Archiestown;38/2344;M.S.;f;60;26;Banffshire;same;same;;
MORAY;22;Advie;38/1234;J.T.S.;m;69;1;Echt, Aberdeenshire;London;Banff;;
MORAY;23;Cromdale;38/0728;E.S.;f;–;–;Cromdale;same;same;;
BANFF;1a;Findochty;38/4667;J.W.O.;m;59;23;Castletown, Caithness;Castletown, Caithness;Thurso, Caithness;;
BANFF;2a;Buckie;38/4265;N.L.B.;f;62;50;Buckie;Buckie;Rosehearty, Aberdeenshire ;;
BANFF;2b;Buckie;38/4265;W.C.;m;77;74;Aberdeen;Buckie;Buckie;;
BANFF;2c;Buckie;38/4265;J.P.;f;39;30;Buckie;same;same;;
BANFF;3;Rathven (Sch.);38/4465;J.S.M.;m;62;23;Buckie;Buckie;Portsoy;;
BANFF;4;Drybridge;38/4362;–.W.;f;74;50;Raemore, Marnoch;Keith district;Keith district;;
BANFF;5;Clochan;38/4060;W.F.J.;m;45;6;Buckie;Buckie;Bishophill, Elgin, Morayshire;;
BANFF;6a;Cullen;38/5167;J.H.G.;f;56;53;Deskford;–;–;;
BANFF;6b;Cullen;38/5167;P.H.;m;51;12;Aberdeenshire;Aberdeenshire;Kincardineshire;;
BAFN;7;Portsoy;38/5866;M.A.M.;f;54;40;Portsoy;Banffshire;Banffshire;;
BAFN;8;Fordyce;38/5563;J.W.C.;f;71;43;Keith;Angus;Kinross;;
BAFN;9;Kirktown of Deskford;38/5061;M.E.B.;f;52;49;Deskford;Deskford;Deskford;;
BAFN;10;Banff;38/6864;A.S.M.;m;56;15;Carron, Morayshire;Grange;Cornhilt;;
BAFN;11;Macduff;38/7064;R.H.;m;48;5;Gamrie;King Edward, Aberdeenshire ;Macduff;;
BAFN;12;Bonnyton;38/7463;W.M.R.;m;47;45;Mill of Cullen, Gamrie;Turriff, Aberdeenshire ;Banff;;
BAFN;13;Gamrie;38/7962;J.S.;m;58;25;Lossiemouth;same;same;;
BAFN;14;Upper Forgie;38/4052;H.M.;f;65;62;Keith;same;same;;
BAFN;15;Mulben;38/3550;H.M.G.;m;–;–;Farr, Sutherland;–;–;;
BAFN;16;Glen of  Newmill;38/4354;J.M.S.;f;39;36;Glen of Newmill;Grange;Glen of  Newmill;;
BAFN;17;Newmill;38/4352;R.M.;m;58;47;Auchinblae;–;–;;
