las_county;las_numb;residency;grid;name;sex;age;residence yrs;birth_inf;birth_mot;birth_fat;school;comment
BAFN;18a;Keith;38/4350;M.A.;f;53;22;Eire;same;same;;
BAFN;18b;Keith;38/4350;H.M.C.;f;25;22;Keith;Fife Keith;Fife Keith;;
BAFN;18c;Keith;38/4350;H.D.;m;79;38;Keith;same;same;;
BAFN;18d;Keith;38/4350;R.V.B.;m;75;20;Keith;Cairnie, Aberdeenshire;Cairnie;;
BAFN;19;Bogmuchals;38/5559;–.G.;f;–;12;Grange;same;same;;
BAFN;20;Rawgowan;38/6258;A.M.;f;79;–;–;–;–;;
BAFN;21;Hungryhill;38/6858;J.G.;f;27;4;Glenlivet;same;same;;
BAFN;22;Peatknowe;38/6256;R.T .;m;52;20;Alvah;same;same;;
BAFN;23;Forglen House;38/6951;A.C.W.S.;m;44;14;Inverness;Macduff;Inverness;;
BAFN;24;Muirden;38/7053;G.S.;m;52;;Muirden;Turriff, Aberdeenshire;Elion, Aberdeenshire;;
BAFN;25;Aberlour;38/2642;J.W.;m;56;53;Aberlour;same;same;;
BAFN;26;Milttown;38/5448;C.P.;m;70;70;Rothiemay;–;–;;
BAFN;27;Bogower;38/6345;G.H.;m;31;28;Forgue, Aberdeenshire;Forgue, Aberdeenshire;I nverkeith ney;;
BAFN;28;lnveravon  (Sch.);38/1837;W.J.B.;m;–;8;–;–;–;;
BAFN;29;Dufftown;38/3240;I.I.;f;70;60;Dufftown;Tulloch, Dufftown;Georgetown, Demerara, British Guinea ;;
BAFN;30;Auchindoun;38/3639;B.H.G.;f;65;21;Dufftown;Lower Cabrach, Aberdeenshire;Dufftown;;
BAFN;31;Mains of  Lesmurdie;38/3932;D.K.C.;f;46;46;Lesmurdie;Fordyce;Lesmurdie;;
BAFN;32;Glenlivet (Sch.);38/1929;;;;;;;;;With assistance from various local residents.
BAFN;33;Tomnavoulin;38/2126;A.J.I.;m;79;79;Tomnavoulin;UpperDrumin, Glenlivet;Braes of Glenlivet;;
BAFN;34;Achnarrow;38/2123;R.L.;m;51;48;Braes of  Glenlivet;same;same;;
ABERDEEN;1;Pennan;38/8465;A.S.;m;61;40;New Pitsligo;same;same;;
ABERDEEN;2;New Aberdour;38/8863;D.B.G.;m;59;29;Sanday, Orkney;same;same;;
ABERDEEN;3a;Rosehearty;38/9367;A.H.;f;57;54;Montrose, Angus;Rothes;Muchalls, Kincardineshire;;
ABERDEEN;3b;Peathill;38/9366;J.R.;f;69;69;Peathill, Rosehearty;lronhill, New Aberdour ;Peathill;;
ABERDEEN;4;Sandhaven;38/9667;C.G.J.;m;42;8;lnverurie;Rosehearty;lnverurie;;
ABERDEEN;5a;Fraserburgh;38/9966;A.M.;f;–;–;Fraserburgh;Ross-shire;Fraserburgh;;
ABERDEEN;5b;Fraserburgh;38/9967;G.R.;m;59;4;Deer;Longside;Deer;;
ABERDEEN;5c;Fraserburgh;38/9967;C.S.;m;63;–;Rathen;–;–;;
ABERDEEN;5d;Fraserburgh;38/9966;A.B.W.;f;50;5;Alvah, Banffshire;Banffshire;Banffshire;;
ABERDEEN;6;Hatton;38/9558;J.E.;m;56;22;Fraserburgh;Rathen;Pitsligo;;
ABERDEEN;7;I nverallochy;48/0465;G.T.R.;m;23;15;Slains;Halkirk, Caithness;Wick, Caithness;;
ABERDEEN;8;Milton of  Fishrie;38/7558;G.K .;m;56;50;Fishrie;same;same;;
ABERDEEN;9;King Edward;38/7157;–.S.;f;70;30;Blairmaud;Boyndie, Banffshire;Boyndie, Banffshire;;
ABERDEEN;10;Fishrie (Sch.);38/7557;A.I.G .;f;54;8;Peterculter;Banchory, Kincardineshire ;Kildrummy;;
ABERDEEN;11;Walker Hill;38/7756;S.D.M.;m;46;43;Crudie;Crudie;Forglen, Turriff;;
ABERDEEN;12;Fintry (Sch.);38/7554;H.M.B.;f;61;25;Monymusk;Keig, nr. Alford;Tarves;;
ABERDEEN;13;Den of  Glasslaw (Sch.);38/8558;J.J.R.G.;f;43;3;King Edward;Auchterless;Monymusk;;
ABERDEEN;14;New Pitsligo;38/8855;W.F .;f;76;8;New Aberdour;same;same;;
ABERDEEN;15;Newbyth;38/8254;–.C.;f;80;50;Auchterless;Daviot;Rayne;;
ABERDEEN;16;Strichen;38/9455;R.F.B.;m;46;10;lnverurie;Cults;Alford;;
ABERDEEN;17;Fetterangus (Sch.I;38/9850;C.A.C.;f;–;16;Banffshire;–;–;;Information gathered from several  old  residents of  Fetterangus
ABERDEEN;18;Nether Cortes;48/0058;A.F .;m;63;60;Nether Cortes;N.E.Aberdeenshire;N.E. Aberdeenshire;;
ABERDEEN;19;Lonmay;48/0158;–.K.;f;65;65;Crimond;New Pitsligo;Lonmay;;
ABERDEEN;20;St Fergus;48/0952;D.D.;m;65;27;Dunfermline, Fife;same;same;;
ABERDEEN;21;Hythie;48/0051;M.H.;f;65;62;Kininmonth;Fetterangus, Old Deer;Sandhole, Fraserburg;;
ABERDEEN;22;Cairnie;38/4844;J.H.;m;60;57;Cairnie;Huntly;Cairnie;;
ABERDEEN;23;Ruthven;38/5047;J.M.;f;69;69;Cairnie;same;same;;
ABERDEEN;24;Kinnoir (Sch.);38/5543;A.M.A.;f;47;10;Banff;Cornhill, Banffshire;Cornhill, Banffshire;;
ABERDEEN;25;Huntly;38/5340;–;–;–;–;–;–;–;;
ABERDEEN;26;Yonders Bognie;38/6046;J.T.;f;43;43;Forgue;Forgue;Fintry;;
ABERDEEN;27;Newtown of Auchaber;38/6240;B.R.S.S.;m;;13;Culsalmond;Clatt;Drumblade;;
ABERDEEN;28a;Turriff;38/7249;W.C.;m;76;44;Fordyce, Banffshire;Gamrie, Banffshire;Banff;;
ABERDEEN;28b;Turriff;38/7249;J.H.F.;f;–;60;–;–;–;;
ABERDEEN;28c;Turriff;38/7249;R.W.S.N.;m;–;–;–;–;–;;
ABERDEEN;29;Steinmanhill  (Sch.);38/7642;W.E.D.D.;f;66;11;Newmill, Keith, Banffshire;Newmill, Banffshire;Grange, Banffshire;;
ABERDEEN;30;Kirktown of Auchterless;38/7141;G.W.R.;m;46;29;Rothienorman;Rothienorman;Cuminestown;;
ABERDEEN;31;Mains of Culsh;38/8848;J.W.;m;74;28;Hillhead, Strichen;Old Pitsligo;Rathen;;
ABERDEEN;32;Greenfield;38/8246;A.P.;m;73;31;Old Deer;Bonnykelly, New Deer;Overside, St Fergus;;
ABERDEEN;33;Cairnorrie;38/8641;W.F.D.;m;63;23;Edinburgh, Midlothian;Edinburgh, Midlothian;East Lothian;;
ABERDEEN;34;Maud;38/9248;D.M.;m;57;14;Grange, Banffsh ire;Grange, Banffshire;Keith, Banffshire;;
ABERDEEN;35;Milladen;38/9846;P.E.;m;57;57;Fetterangus;Fetterangus;St Fergus;;
ABERDEEN;36;Stuartfield;38/9745;G.H.D.;m;60;50;Mintlaw;Parish of  King Edward;Paris of  Longside;;
ABERDEEN;37;Smithy Croft;38/9844;A.M.;m;61;59;Ardallie Parish;New Aberdour;St Fergus;;
ABERDEEN;38;Shannas (Sch.);38/9943;L.W.;f;–;20;Manse of  Savoch, Auchnagatt ;Charlottetown, Prince Edward Isle, Canada;Beith, Ayrshire;;
ABERDEEN;39;Brownhill of Annochie;38/9343;A.W.;m;56;56;Brownhill of  Annochie;Brownhill Croft;Brownhill of Annochie;;
ABERDEEN;40;Auchnavaird;38/9440;A.W.;m;72;69;Auchnavaird,  Auchnagatt;Gibseat, Auchnagatt;Siains;;
ABERDEEN;41;Lunderton;48/1049;G.C.;m;82;60;lnverugie;Kininmonth;Kininmonth;;
ABERDEEN;42;Mintlaw;48/0048;J.T.G.;m;58;24;Peterhead;–;St Fergus;;
ABERDEEN;43;Longside;48/0347;J.F.;m;49;5;New Deer;same;same;;
ABERDEEN;44;Torterston;48/0847;R.G.B.;m;44;5;Stoneywood;Aberdeen;Bucksburn;;
ABERDEEN;45;Kinmundy;48/0444;J.T.;m;78;45;Peterhead;Auchnagatt;Auchnagatt;;
ABERDEEN;46;Blackhills;48/0843;J.M.;f;78;75;Blackhills, Peterhead;Cruden;Blackhills;;
ABERDEEN;47a;Peterhead Academy;48/1346;I.S.;f;;;;;;;per I .S., Principal Teacher of Geography and Woman Adviser
ABERDEEN;47b;Peterhead;48/1346;C.D.F.;f;52;52;Peterhead;same;same;;
ABERDEEN;47c;Peterhead;48/1346;B.E.G.;f;–;16;Fraserburgh;Pitsligo;Fraserburgh;;
ABERDEEN;47d;Peterhead;48/1346;E.F.M.;f;52;30;Peterhead;Peterhead;Aberdeen;;
ABERDEEN;47e;Peterhead;48/1346;H.M.S.;f;34;32;Peterhead;same;same;;
ABERDEEN;47f;Peterhead;48/1346;M.T.;f;63;63;Peterhead;same;same;;
ABERDEEN;48;Drumblade Parish;38/5739;M.S.;f;78;41;Rothiemay, Banffshire;Huntly;Cairnie;;
ABERDEEN;49;Wells of  Ythan;38/6338;W.G.S.;m;43;4;Newhills;same;same;;
ABERDEEN;50;Glens of  Foudland;38/6034;T.M.D.;m;37;2;Carmyle, Lanarkshire;Stair, Ayrshire;Drongan, Ayrshire;;
ABERDEEN;51;Kirkton of Culsalmond;38/6532;J.G.D.;m;48;15;Fraserburgh;Portsoy;Whitehills, Banffshire;;
ABERDEEN;52;Largie;38/6131;W.W.;m;64;50;Cairnie;Cairnie;Drummuir, Banffshire;;
ABERDEEN;53;Rayne (Sch.);38/6931;A.W.;m;52;8;Cairnie;same;same;;
ABERDEEN;54;Rothienorman;38/7235;E.M.J.K.;f;47;16;Alford;Ballater;Alford;;
ABERDEEN;55;St Katherine;38/7834;C.G.;f;29;2;Ayrshire;Ayrshire;Dingwall, Ross and Cromarty ;;
ABERDEEN;56;Methlick;38/8537;H.B.;f;61;38;Tarves;Tarves;Methlick;;
ABERDEEN;57;Tulloch (Sch.);38/7932;L.A.H.;f;63;30;Aberdeenshire  (East);Central Aberdeenshire;North Aberdeenshire;;
ABERDEEN;58;Tarves;38/8631;C.R.M.;m;50;8;Kemnay;Cairney;Monquhitter;;
ABERDEEN;59;Mains of lnkhorn;38/9239;J.S.;f;64;36;Stockbridge, Peterhead;Boghead, Kininmonth;Mintlaw, Kininmonth;;
ABERDEEN;60;Mill of Dumbreck;38/9030;H.M.;f;43;25;Strathdon;same;same;;
ABERDEEN;61;Aulton;48/0735;E.D.;f;45;2;Cruden Bay;Cruden Bay;Wellbank, Peterhead;;
ABERDEEN;62;Tassathill;48/0033;;;;;;;;;Anonymous
ABERDEEN;63;Rhynie;38/4927;J.F.;m;59;19;Knock, Sleat, Skye, Inverness-shire;Dingwall, Rosshire;Beauly, Inverness-shire ;;
ABERDEEN;64;Premnay (Sch.);38/5924;M.M.S.;;46;46;Glass;Inverurie;Glass;;
ABERDEEN;65;lnsch;38/6328;J.A.;m;75;40;Turriff;Turriff;Garioch;;
ABERDEEN;66;Hatton of Ardoyne;38/6526;–.R.;f;49;30;Culsalmond;Culsalmond;Kennethmont;;
ABERDEEN;67;Daviot (Sch.);38/7528;E.M.;m;66;20;Westray, 0rkney;Orkney;Orkney;;
ABERDEEN;68;Durno;38/7128;A.M.F.;m;61;58;Durno;Methlick;;;
ABERDEEN;69;Bourtie (Sch.);38/7824;B.M.M.;f;46;21;Cluny;Banchory;Midmar;;
ABERDEEN;70;Balquhain;38/7322;J.W.W.;f;66;31;Keith-Hall, Inverurie;Keith-Hall;same;;
ABERDEEN;71a;lnverurie;38/7721;G.S.B.;m;70;32;New Deer;same;same;;
ABERDEEN;71b;Inverurie;38/7721;D.B.;f;49;13½;Keith-Hall;same;same;;
ABERDEEN;71c;lnverurie;38/7721;N.D.;m;;;;;;;Information obtained from two old residents.
ABERDEEN;72;Denend;38/8825;J.A.;m;76;73;Udny;Oldmeldrum;Tarves;;
ABERDEEN;73;Whiterashes;38/8523;L.M.;f;34;12;Cluny;Garlogie, Echt;Cluny;;
ABERDEEN;74;Littlemill of Esslemont;38/9228;G.M.;m;58;56;Littlemill of Esslemont;Elion;Littlemill of Esslemont;;
ABERDEEN;75;Craigieford;38/9727;E.P.C.;f;76;53;Deepheather, Ellan;–;–;;
ABERDEEN;76;Newburgh;38/9925;A.M.;m;86;86;Newburgh;Longside;New Deer;;
ABERDEEN;77;Cultercullen;38/9124;A.M.;f;61;35;–;Morayshire;–;;
ABERDEEN;78;Forbestown;38/3612;L.F.;f;67;59;Wilton, Roxburghshire;Strathdon;Coull, Deeside;;
ABERDEEN;79;Newseat;38/4911;A.C.;m;73;36;Tarland;Cushnie;Lumphanan;;
ABERDEEN;80;Montgarrie;38/5717;I.D.K.;f;54;24;Grange, Banffshire;Cairnie;Cairnie;;
ABERDEEN;81;Haughton;38/5816;A.S.;m;58;56;0ld StrathIunach;Monymusk;Keig;;
ABERDEEN;82;Keig (Sch.);38/6118;W.8.;m;44;16;Rhynie;Elion;Strichen;;
ABERDEEN;84;Tough;38/6113;A.K.S.;f;74;74;Tough;Tough;Garioch;;
ABERDEEN;85;Kintore;38/7816;W.H.A.;m;–;3;–;–;–;;
ABERDEEN;86;Kemnay;38/7315;D.W.S.;m;52;24;Lumphanan;Cushnie;Torphins;;
ABERDEEN;87;Lyne of Skene;38/7610;E.A.S.;f;63;31;Aberlour, Banffshire;Morange, Banffshire;Aberlour, Banffshire;;
ABERDEEN;88;Monykebbuck;38/8718;–.W.;f;59;56;Ord, Newmachar;Kinghorn, Newmachar;Newmachar;;
ABERDEEN;89;Overton (Sch.);38/8614;M.H.R.;f;64;13;Orkney;same;same;;
ABERDEEN;90;Bankhead (Sch.);38/8910;A.S.R.;m;;;;;;;Completed with the help of schoolchildren
ABERDEEN;91;Craigie (Sch. );38/9119;–;m;–;–;–;–;–;;
ABERDEEN;92;Corgarff;38/2708;J.R.;m;67;60;Tariand;Corgarff;Corgarff;;
ABERDEEN;93;Tarland;38/4804;H.G.;m;53;2;Caithness;same;same;;
ABERDEEN;94;Milton Corse;38/5507;J.R.;m;67;65;Milton Corse, Coull, Lumphanan;Kincardine O'Neil;Milton Corse, Coull, Lumphanan;;
ABERDEEN;95;Waulkmill;38/5507;I.T.;f;–;25;–;–;–;;
ABERDEEN;96;Lumphanan;38/5804;J.F.D.;m;53;19½;Portsoy Banffshire;Cullen, Banffshire;Rathven, Banffshire;;
ABERDEEN;97;Milton of Campfield;38/6400;J.C.F.;m;73;70;Glassel;Raemoir, Kincardine-shire ;Glassel;;
ABERDEEN;98;West Kinnernie;38/7109;J.C.;m;58;10;Cluny;Kemnay;Inverness;;
ABERDEEN;99;Dunecht;38/7509;J.B.;f;49;18;Newhills;Kininmonth;Midmar;;
ABERDEEN;100;Midmar;38/7005;C.I.D.;f;56;40;Midmar;Huntly;Ruthven;;
ABERDEEN;101;Garlogie (Sch.);38/7805;C. D.W.;f;55;20;Fintary;Fintary;Newmachar;;
ABERDEEN;102;Bucksburn;38i 8909;–.W.;m;–;–;–;–;–;;
ABERDEEN;103;Westhill;38/8306;M.J.F.C.;f;63;25;Aberdeen;Tough;Skene;;
ABERDEEN;104;Eddieston (Sch.);38/8003;E.H.C.;f;58;9;Tulloch, Old Meldrum;Leslie, lnsch;Old Meldrum;;
ABERDEEN;105;Petercu lter;38/8300;A.I.M.;m;48;45;Peterculter;Forgue;Lonmay;;
ABERDEEN;106;Craighill;38/9301;J.M.;m;72;70;Nigg;Banchory;Broomhill Farm, Aberdeenshire ;;
ABERDEEN;107;Crathie;37/2695;A.A.T.;m;50;50;Crathie;Braemar;Crathie;;
ABERDEEN;108;Ballater;37/3695;I.LU.;f;59;18;Port Elphinstone;Parish of King Edward;Savoch, Nr . Auchnar;;
ABERDEEN;109;Finzean;37/5993;A.M.;m;62;22;Glasgow, Lanarkshire;Ayr;Old Kilpatrick;;
KINCARDINE;1;Cove;38/9500;C.E.M.;m;–;12;–;–;–;;
;;;;and A.S.;m;–;–;–;–;–;;
KINCARDINE;2;Raemoir;37/7099;A.H.H.;f;38;2½;Glasgow, Lanarkshire;Old Meldrum, Aberdeenshire;Skene, Aberdeenshire ;;
KINCARDINE;3;Upper Lochton ;37/6997;M.R.G.;f;57;54;Upper Lochton, Banchory;Strachan, by Banchory;Upper Lochton, Banchory  ;;
KINCARDINE;4;lnchmarlo;37/6796;J.C.;65;31;½;Lonmay, Aberdeenshire;Fraserburgh, Aberdeenshire;St Fergus, Aberdeenshire;;
KINCARDINE;5;Banchory;37/6995;W.R.;m;72;4;Drumoak, Aberdeenshire;Birse, Aberdeenshire;Drumoak, Aberdeenshire;;
KINCARDINE;6;Strachan;37/6692;A.A.;f;56;38;Lumphanan, Aberdeenshire;same;same;;
KINCARDINE;7;Crathes;37/7596;J.M.H.;f;50;6½;Newtonhill, Nr. Stonehaven ;Newtonhill;Auchnagatt, Aberdeenshire;;
KINCARDINE;8;Little Tulloch ;37/7795;J.A.B.;m;54;12;Tarland, Aberdeenshire;Cabrach, Banffshire;Glenkindie, Aberdeenshire;;
KINCARDINE;9;Cairnfauld;37/7593;A.R.;m;47;44;Durris;Old Rayne, Aberdeenshire ;Durris;;
KINCARDINE;10;Maryculter;37/8497;J.M.;m;59;37;Portlethan;Aberdeen;Rothienorman, Aberdeenshire;;
KINCARDINE;11;Netherly;37/8493;–.N.;f;64;36;East Blackburn, Urie;Echt, Aberdeenshire;Banchory-Devenick;;
KINCARDINE;12;Cockney;37/8793;E.G.;–;50;50;Aberdeen;Savoch Aberdeenshire ;Methlick, Aberdeenshire;;
KINCARDINE;13;Bridge of Muchalls (Sch.);37/8991;E.L.G.;f;48;–;–;–;–;;
KINCARDINE;14;Newtonhill;37/9093;J.M.;m;56;50;Newtonhill;same;same;;
KINCARDINE;15;Drumlithie;37/7880;I.H.M.;f;68;65;Glenbervie;Angus;Ayrshire;;
KINCARDINE;16;Rickarton (Sch.);37/8189;E.T.;f;52;5;Ellon, Aberdeenshire ;St Fergus, Aberdeenshire ;Maud, Aberdeenshire ;;
KINCARDINE;17a;Stonehaven;37/8786;A.G.;m;;;;;;;Completed with the assistance of several local residents 
KINCARDINE;17b;Stonehaven;37/8785;G.J.;m;78;9;Netherley;Netherley;Cockney;;
KINCARDINE;17c;Stonehaven;37/8785;J.M.;f;53;50;Stonehaven;Stonehaven;Stranathro;;
KINCARDINE;17d;Stonehaven;37/8786;H.R.W.;f;65;39;Stonehaven;same;same;;
KINCARDINE;18;Stonehaven;37/8582;M.H.;f;65;61;Brucklaywaird, Stonehaven;Rickarton, Stonehaven ;Dunnottar, Stonehaven ;;
KINCARDINE;19;Upper Westown ;37/8280;D.F.;m;48;48;Upper Westown ;–;Upper Westown ;;
KINCARDINE;20;Pitnamoon;37/6874;D.F.;m;68;39;Fordoun;Fordoun;Stonehaven;;
KINCARDINE;21;Mill of Mondynes ;37/7779;J.S.;m;55;50;Drumlithie;Fordoun;By Fordoun ;;
KINCARDINE;22;Laurencekirk;37/7171;A.T.;m;48;35;Laurencekirk;Stonehaven;Laurencekirk;;
KINCARDINE;23;Barras;37/8178;–.B.;f;66;28;Barras;Stonehaven;Laurencekirk;;
KINCARDINE;24;Kirkton;37/8074;A.F.;m;58;20;Drumlithie;Rathen, Aberdeenshire;Parkseat, Aberdeenshire;;
KINCARDINE;25;Gourdon;37/8270;J.S.;m;49;44;Gourdon;Arbroath, Angus;Gourdon;;
KINCARDINE;26;Dubton;37/6867;F.A.;m;35;33;Marykirk;Angus;Marykirk;;
KINCARDINE;27;Marykirk;37/6865;C.K.C.;m;–;52;Marykirk;Anstruther, Fife;Marykirk;;
KINCARDINE;28;East Braidieston;37/7468;A.P.;m;79;70;St Cyrus;Dumfries;Kinneff;;
KINROSS;1;Carnbo;37/0503;M.S.A.;f;72;68;Mawcarse;Stonehouse, Lanarkshire ;Strathven, Lanarkshire;;
KINROSS;2;Fossoway;37/0202;M.W.;f;61;57;Orwell Parish;Blairingone;Kinghorn, Fife – Kinross-shire since age 16 ;;
KINROSS;3;Milnathort;37/1204;A.F.G.;f;44;41;Milnathort;Milnathort;Arbroath, Angus ;;
KINROSS;4;Balleave;37/1102;A.B.;m;78;42;Coldrain, Kinross;Kinnesswood;Forgandenny, Perthshire;;
KINROSS;5;Portmoak;37/ 1700;W.A.;m;73;25;Stonehaven;same;same;;
KINROSS;6;Blairingone;26/9897;B.C.N.M.;f;50;22;Milnathort;Kilkerran, Ayrshire ;Fossoway;;
KINROSS;7;Rumblingbridge;36/0199;W.S.;m;–;–;Fossoway;–;Fossoway;;
ANGUS;1;Tarfside;37/4880;A.C.;m;73;70;Lochlee;same;same;;
ANGUS;2;Hillock;37/5578;D.M.;m;52;49;Glenesk;same;–;;
ANGUS;3;Glenogil;37/4462;A.R.;m;62;26;Menmuir, By Brechin;Fern, by Brechin;Carseburn, by Forfar;;
ANGUS;4;Fern Den;37/4861;H.T.;f;76;49;Perth;Lindores, Fife;Ceres, Fife;;
ANGUS;5a;Brechin;37/5960;O.H.A.H.;f;37;35;Lunan, by Arbroath;Roseley, Arbroath;Chapelton, Arbroath;;
ANGUS;5b;Brechin;37/5960;J.R.;m;66;35;Inverbervie, Kincardineshire ;St Cyrus, Montrose;Dun, Montrose;;
ANGUS;5c;Brechin;37/5960;E.S.;m;54;51;Brechin;same;same;;
ANGUS;6;West Kinwhirrie;37/3758;W.L.;m;75;40;Airlie;Tannadice;Airlie;;
ANGUS;7;Little Kenny;37/3054;J.L.;m;75;34;Glenisla, Perthshire;same;same;;
ANGUS;8;Kirriemuir;37/ 3853;A.P.F.;m;–;–;–;–;–;;
ANGUS;9;Craigton of  Airlie;37/3250;A.H.;m;54;51;Craigton of  Airlie;;Craigton of  Airlie;;
ANGUS;10;Memus;37/4258;C.H.;m;79;9;Glamis;Westmuir;Glamis;;
ANGUS;11;Meadows;37/4454;H.E.;m;43;10;Carse of  Gowrie;Angus;Carse of  Gowrie;;
ANGUS;12;Padanaram (Sch.);37/4151;E.W.;f;55;8;Kirriemuir;Kirriemuir;Meigle, East Perthshire;;
ANGUS;13;Forfar;37/4150;G.F.M.;m;58;16;Drymen, Stirlingshire;Thurso, Caithness;Girloch, Ross-shire;;
ANGUS;14a;Forfar;37/4550;G.R.C.;f;64;57;Forfar;Midmar, Aberdeenshire;Forfar;;
ANGUS;14b;Forfar;37/4550;A.C.D.;m;84;80;Forfar;same;same;;
ANGUS;;;;F.D.R.M.;m;54;50;Forfar;same;same;;
ANGUS;14c;Forfar;37/4550;J.N.;f;–;50;Forfar;same;same;;
ANGUS;14d;Forfar;37/4550;J.C.R.;f;49;43;Forfar;same;same;;
ANGUS;15;Guthrie (Sch.);37/5650;M.M.;f;65;11;Dundee;Angus;Angus;;
ANGUS;16;Westerton  (Sch.);37 /6654;–.K.;f;–;13;Montrose;Elgin, Morayshire;Montrose;;
ANGUS;17a;Montrose;37/7157;G.D.;m;68;21;Aberdeen;Buchan, N.E. Aberdeen;Aberdeen;;
ANGUS;17b;Montrose;37/7157;W.D.;m;77;26;Dundee;Longside, Aberdeenshire;Dundee;;
ANGUS;18;Ferryden;37/7156;J.P.;f;63;59;Ferryden;same;same;;
ANGUS;19;Newtyle;37/2941;w.w.c.;m;54;7;Peterhead,  Aberdeenshire;same;same;;
ANGUS;20;Kirkinch;37/3144;M.T.;f;23;20;Kirkinch;Dufftown, Banffshire;–;;
ANGUS;21;Kingsmuir (Sch.);37/4749;H.M.S.;f;66;13;Dundee (brought up in Forfar) ;Coupar Angus, Perthshire ;Barry;;
ANGUS;22;Kinnettles;37/4346;J.F.E.;m;45;4;Inverbervie, Kincardineshire ;same;same;;
ANGUS;23;S. Tarbrax;37/4241;P.G.;m;79;76;Inverarity;same;same;;
ANGUS;24;Friockheim;37/5949;S.A.M.;m;34;30;Earlston, Berwickshire;Earlston, Berwickshire;Glasgow, Lanarkshire;;
ANGUS;25;Letham;37/5248;M.W.S.;f;76;64;Letham;Letham;Guthrie, by Forfar;;
ANGUS;26;Arbirlot;37/5940;W.R.;m;42;4;Motherwell, Lanarkshire;Montrose;Montrose;;
ANGUS;27;Chapel ton;37/6247;A.B.;f;75;45;Kinblethmont Muir;Chapel ton;Kingennie;;
ANGUS;28;Auchmithie;37/6744;A.S.;m;78;75;Auchmithie;Crail, Fifeshire;Chapel ton;;
ANGUS;29a;Arbroath;37/6441;R.J.C.;m;48;45;Arbroath;same;same;;
ANGUS;29b;Arbroath;37/6441;E.J.J.;m;63;16;Montrose;Angus;Aberdeenshire;;
ANGUS;30;Old  Balkello;37/3638;A.F.;m;78;25;Westmarch, Mains;Carnoustie;Mattocks, Wellbank;;
ANGUS;31;Fowlis Easter;37/3233;W.W .;m;81;39;Cargill, Perthshire;Kinclaven, Perthshire;Rattray, Perthshire;;
ANGUS;32;Kellas;37/4535;K.M.O.;f;28;26;Dundee;Inverness;Largo, East Fife;;
ANGUS;33a;Monifieth;37/4932;A.C.8.;f;56;50;Belfast;Dundee;Dundee;;
ANGUS;33b;Monifieth;37/4932;D.J.;m;86;30;Forfar;same;same;;
ANGUS;34;Monikie;37/5038;D.G.D.;m;53;14;Kinneff, Kincardineshire;Dundee;Arbroath;;
ANGUS;35;Muirdrum;37/5637;A.S.J.;f;83;80;Muirdrum;Kilconquhar, Fife;Muirdrum;;
ANGUS;36;Downieken;37/5035;R.W.;m;58;55;Downieken;Kirkden;Auchterlonie;;
ANGUS;37;Carnoustie;37/5634;I.A.;f;73;44;Arbroath;same;same;;
PERTH;1;Dail-na-mein;27/7569;C.D.G;m;67;64;Calvine;Strathtay;Calvine;;
PERTH;2a;Calvine;27/8065;M.D.;f;73;0.3;Blair Atholl;Blair  Atholl;Rannoch;;
PERTH;2b;Calvine;27/8065;A.A.;f;47;40;Edinburgh, Midlothian;Edinburgh, Midlothian;Blair Atholl;;
PERTH;3;Kindrochit;27/8064;W.M.;m;81;81;Ardgie, Pitlochry;Grantown-on-Spey, Morayshire ;Ardgie;;
PERTH;4;Strathtummel;27/8160;M.U.;f;69;–;Strathtummel;Strathtummel;Fortingall;;
PERTH;5;Bridgend;37/0464;F.M.M.;f;51;51;Straloch;Blair  Atoll;Blair Atoll;;
PERTH;6;Enochdhu;37/0662;E.L.;f;49;49;Enochdhu;Perthshire;Perthshire;;
PERTH;7;Kirkmichael;37/0760;C.M.;f;47;23;Blairgowrie;Alyth;Kintyre, Argyllshire;;
PERTH;8;Kinloch Rannoch;27/6658;A.M.;m;66;27;Glasgow, Lanarkshire;Kilwinning, Ayrshire;Glasgow, Lanarkshire;;
PERTH;9;Foss;27/7958;D.A.W.;m;46;43;Tummel Bridge, Foss;Aberdeen;Fife;;
PERTH;10;Pitlochry;27/9458;J.A.M.;m;43;40;Bohally;Cumnock, Ayrshire;Strathtummel;;
PERTH;11;Pitnacree;27/9253;J.C.;m;58;55;Strathtay;lnchture;Grandtully;;
PERTH;12;Logierait;27/9751;E.D.;f;40;40;Logierait;Logierait;Dalguise;;
PERTH;13;Alltreoch, Ballintuim;37/0956;R.S.R.;m;65;65;Dalnabreck, Ballintuim;Balnabeggan, Ballintuim ;Balnabroich, Ballintuim ;;
PERTH;14;Acharn;27/7543;J.M.;m;80;77;Acharn;same;same;;
PERTH;15;Dalguise;27/9947;A.G.;m;68;40;Moulin;Moulin;Tullymet;;
PERTH;16;Trochrie;27/9740;J.S.;m;64;21;Amulree;Aberfeldy;Strathtummel;;
PERTH;17;Dowally, Ballinluig;37/0048;M.E.C.;f;–;–;–;–;–;;
PERTH;;;;B.C.;f;–;–;–;–;–;;
PERTH;;;;D.F.;m;–;–;–;–;–;;
PERTH;1B;Dunkeld;37/0242;A.H.;f;78;70;Blair Atoll;Tullymet;Dunkeld;;
PERTH;19;Birnam;37/0341;J.S.;m;82;80;Birnam;Dowally;Murthly;;
PERTH;20;Culthill;37/0941;S.B.;m;53;53;Caputh;Caputh;Wexford, Ireland;;
